Cesar Nestor,Hernández,35000040,14/11/2003
Irma Paula,Bolívar,35000041,01/02/2000
Saludina,Dueñas,35000042,20/10/2002
Ubaldo Luis,Castiblanco,35000043,22/02/1999
Estelbaldo Ramon,Cervantes,35000044,05/12/2000
Edelberto,Tarquino,35000045,23/02/1999
Jimmy,Guerrero,35000046,01/01/1999
Sonia Nina,Sánchez,35000047,27/10/2002
Feliz Leandro,Fernández,35000048,25/07/2000
Cesar Antonio,Diaz,35000049,13/01/1998
Haydeé Delmira,Suarique,35000050,23/02/2001
Liria Nelida,Barrera,35000051,01/09/1999
Maria Elena,Torres,35000052,01/07/2000
Vicenta Ofelia,Vargas,35000053,12/03/2001
Rosa Amalia,Mahecha,35000054,05/10/2001
Zelica Delia,Barjuch,35000055,01/04/2003
Guentci,Quesada,35000056,13/12/2001
Wilfrida Beatriz,Suarique,35000057,25/03/2002
Perla Aida,Castiblanco,35000058,22/04/2002
Ramón Ignacio De Jesus,Novoa,35000059,07/05/2003
Julio Isaias,Cervantes,35000060,18/07/2003
Raquel Esther,Orozco,35000061,27/01/2003
Edit Francisca,Estudiantes,35000062,05/07/1998
Matilde Sabina,Botero,35000063,12/06/2002
Nicacia Martha,Garcia,35000064,08/12/1998
Joaquin Abundio,Lopez,35000065,17/04/2000
Humberto Miguel,Estudiantes,35000066,07/05/2001
Rita Francisca,Garcia,35000067,20/08/1998
Elda del Huerto,Tarquino,35000068,05/12/2001
Antonia Leticia,Fino,35000069,15/03/2003
Nicolas Genaro,Pinzon,35000070,26/09/2002
Alejandro Elisardo,Aristizabal,35000071,28/07/2001
Hugo Tadeo,Nieto,35000072,01/09/1998
Angela Adolfina,Puerto,35000073,04/06/2003
Beatriz Angela María,Dueñas,35000074,12/03/2001
Carlos Rolán,Marin,35000075,21/08/1999
Amelia Fanni,Horta,35000076,11/07/2001
Nicolasa Marta,Mejia,35000077,28/03/2000
Ramon Jorge,Bravo,35000078,05/05/2002
Rafael Septimo,Fernández,35000079,02/03/1999
Robindo Alberto,Botero,35000080,08/12/1998
Rosemary,Cruz,35000081,01/11/2002
Ambrosia Juana,Hernández,35000082,18/08/2002
Guadalupe Lucia,Orozco,35000083,12/07/2002
Ernestina Rosenda,Barrera,35000084,25/11/2002
Nicasio Atilio,Sanchez,35000085,03/01/1999
Benancia Concepcion,Guerrero,35000086,13/12/2000
Ynes Victoria,Tarquino,35000087,08/12/2003
Ernestina Marimar,Guacas,35000088,20/08/2000
MINDA,Guerrero,35000089,21/11/2002
Segunda Carlota,Sierra,35000090,11/06/2003
Carlos Yfrain,Rey,35000091,03/08/2002
Arturo Natalio,Rey,35000092,03/04/1998
Anatilde Ramona,Muñoz,35000093,18/08/2003
Elena Marsilia,Tarquino,35000094,15/04/2002
Zoilo Daniel,Camargo,35000095,11/11/2001
Vilma Emiliana,Hernández,35000096,01/04/1998
Kelvin,Rey,35000097,08/12/2001
Ana Eneri,Suarique,35000098,28/06/2003
Matilde Eugenia,Torres,35000099,15/03/2002
Mercedes Sara Del Valle,Sierra,35000100,04/06/1999
Narciso Vicente,Torres,35000101,28/04/2001
Bernardo Plabio,Fernández,35000102,05/01/2002
Silvia Cipriana,Barjuch,35000103,03/05/1999
Ana Egidia,Mendoza,35000104,02/09/1999
Elia Onilda,Herrera,35000105,05/11/2001
Cesilio Mauro,Sanchez,35000106,17/06/2003
Alberto Fernando Rafael,Bravo,35000107,09/11/2003
Gregoria Graciela,Mendoza,35000108,02/04/2001
Juan Eduardo Anides,Delgado,35000109,27/02/1999
Perla Marina,Mejia,35000110,24/04/1999
Alejandro Sabino,Gomez,35000111,17/06/1999
Luis Alberto Tadeo,Dueñas,35000112,06/06/2003
Omar Delfor,Rey,35000113,07/11/1999
Silvia Adelma,Mejia,35000114,16/10/2003
Pablo Onésimo,Camargo,35000115,19/09/2003
Luis Manuel,Botero,35000116,11/03/2003
Alejandra Margarita,Tarquino,35000117,11/12/2000
Libia Esther,Castaño,35000118,03/01/2000
Celina Del Valle,Lopez,35000119,06/07/2003
ADONES RENATO,Camargo,35000120,17/06/1999
Diego Andres Carlos,Garcia,35000121,03/07/2002
Elvira Estela,Fino,35000122,24/12/2001
Nicolas Sebastian,Herrera,35000123,27/07/2002
Primitiva Raquel,Puerto,35000124,26/08/1999
Venancio Romulo,Puerto,35000125,24/01/2002
Abdon Ygnacio,Perez,35000126,10/12/1998
Nestor Amado,Lopez,35000127,27/12/2002
Albino Guido,Bolívar,35000128,12/03/1998
Henry Andres Jose,Cervantes,35000129,24/08/2001
Ramon Baron,Rey,35000130,05/11/1999
Armando Ysidoro,Tarquino,35000131,22/05/1998
Jorgelina Norma del Valle,Rueda,35000132,21/01/2002
Isabel Dejesus,Delgado,35000133,01/06/2000
Jorge Osmar Jose,Guacas,35000134,28/11/2000
Berta Luz,Cervantes,35000135,28/10/2002
Maria Asunta,Rocha,35000136,24/02/2002
Monica Celina Rosa,Cruz,35000137,11/05/1999
Ernesto Gidio,Ruiz,35000138,18/10/2002
Emilce Edith,Alfonso,35000139,24/09/1999
Elvira Estela,Perez,35000140,04/09/1998
Angel Emilio Ramon,Mogollón,35000141,26/08/2001
Olga Amabelia,Mendoza,35000142,05/03/2001
Agusto Ramón,Estudiantes,35000143,21/11/2002
Mercedes Epifania,Rueda,35000144,12/12/1999
Milda Josefa,Gomez,35000145,14/10/1998
Ana Maria Judith,Aristizabal,35000146,12/03/2000
Osmar Crisanto,Estudiantes,35000147,10/09/2001
Hipolito Ancelmo,Beltrán,35000148,10/09/2002
Delia Gabriela,Castaño,35000149,24/06/2003
Ines Arminda,Garcia,35000150,15/10/2000
Delma Emma,Forero,35000151,16/10/2000
Waldino Daniel,Beltrán,35000152,12/06/2003
Fani Domitila,Delgado,35000153,13/05/2001
Gregorio Silvano,Barthel,35000154,21/04/2000
Neri Anibal,Tarquino,35000155,11/07/2002
Mario Angel,Perez,35000156,20/02/2002
Hector Daniel Jacobo,Aristizabal,35000157,20/01/2001
Nebilda Beatriz,Diaz,35000158,18/02/2000
Dilma Olga,Camargo,35000159,21/11/1998
Pablo Edelmiro,Ortega,35000160,26/08/2003
Blanca Adriana,Acevedo,35000161,02/05/1998
Vicenta Elba Margarita,Barrera,35000162,22/08/1998
Carlos Aberto,Forero,35000163,06/06/2002
Eusebio del Valle,Sánchez,35000164,12/07/2001
Rafael Primitivo,Aristizabal,35000165,21/12/1999
Raul Claudio,Sánchez,35000166,16/05/1998
Xavier Francisco,Navia,35000167,21/12/2000
Santa Maxima,Hernández,35000168,20/05/2003
Teodolinda Ester,Blanco,35000169,17/03/2001
Dagoberto Carlos,Pinzon,35000170,10/06/2001
Hebe Alcira,Bolívar,35000171,05/11/2000
Alfredo Silvio,Ruiz,35000172,06/04/2001
Fernanda Ana,Vargas,35000173,04/10/2003
Emma Ines Argentina,Orozco,35000174,10/03/1999
Edmy,Estudiantes,35000175,08/12/1998
Nelis Rolendia,Romero,35000176,19/02/2000
Marcelo Juan Pablo,Barthel,35000177,18/03/1999
Victorio Adelmo,Garcia,35000178,18/01/2000
Ruben Hector,Sanchez,35000179,07/05/2001
Selina,Gonzalez,35000180,13/07/2000
Sixta Beatriz,Garcia,35000181,16/12/1998
Dominga Lucy,Suarique,35000182,07/06/2000
Berenise,Delgado,35000183,25/02/1999
Lidia  Isabel,Muñoz,35000184,23/07/2000
Raquel Laura,Polo,35000185,13/11/2000
Rosa Teofila,Pinzon,35000186,18/06/2003
Mirta Balbina,Montoya,35000187,06/02/2003
Janes,Sierra,35000188,23/06/2001
Gloria Beatriz Del Jesus,Lanao,35000189,21/02/1999
Paulina Trinidad,Quesada,35000190,11/07/2000
Demetria Eusebia,Barrera,35000191,12/10/2001
Diego Valentin,Horta,35000192,08/03/2001
Martha Bernardina,Sierra,35000193,06/07/2001
Hebe Elisa,Rodríguez,35000194,04/09/2002
Hilario Mercedes,Sanchez,35000195,28/02/2002
Leon Nemesio,Hernández,35000196,13/07/2001
Mercedes Maximino,Diaz,35000197,13/09/2001
Osmar Armando,Castaño,35000198,01/05/2000
Paulina Aurelia,Pinzon,35000199,01/10/2002
Marquesa Orfelia,Barjuch,35000200,23/02/2001
Cesar Medardo,Jimenez,35000201,03/04/2002
Vito Quirico,Quesada,35000202,10/06/2002
Epefanio Hugo,Orozco,35000203,09/07/2003
Gregorina,Fino,35000204,25/11/2000
Jose Teudulio,Varon,35000205,15/04/2001
German Alfredo,Coral,35000206,21/02/2003
Tulio Norberto,Mendoza,35000207,23/01/2001
Raquel Estela,Suarique,35000208,28/01/2003
Clara Carolina,Tarquino,35000209,04/03/2002
Mirta Edel,Cortés,35000210,26/01/2003
Leonido Camilo,Camargo,35000211,25/03/2000
Dionisia Esther,Cortés,35000212,16/04/1998
Jose Medardo,Acevedo,35000213,23/10/1999
Ilda Viviana,Hernández,35000214,06/06/2000
Alberto Lalo,Guacas,35000215,07/12/1999
Cayetano Facundo,Coral,35000216,24/08/1998
James Dale,Cortés,35000217,11/07/2001
Carlos Henry,Camargo,35000218,11/08/1999
Paulino Policarpo,Sánchez,35000219,12/06/2003
Alberto Crescencio,Rodríguez,35000220,21/08/2002
Norberto Isaac,Mogollón,35000221,21/12/2003
Andres Benigno,Zúñiga,35000222,11/06/2000
Marta Rrosario,Mejia,35000223,10/08/2002
Estella Margarita,Castaño,35000224,07/01/2000
Juan Manuel Jorge,Sanchez,35000225,19/05/2001
Mirta Estel Mabel,Beltrán,35000226,24/01/1998
René Ramón,Barrera,35000227,08/09/2002
Maria Tita,Bravo,35000228,14/03/2000
Delmina Onelia,Pinzon,35000229,05/11/1998
Emeldo Benito,Novoa,35000230,21/06/1999
Baudilia Segunda,Quesada,35000231,11/10/2001
Leticia Tamara,Orozco,35000232,22/12/2001
Mirtha Salustiana,Novoa,35000233,21/03/2000
Francisca Luisa,Barjuch,35000234,06/04/2001
Cesar Edil,Mogollón,35000235,10/06/2003
Aguedo Virginio,Castiblanco,35000236,03/01/1999
Francisca Nicolasa,Montoya,35000237,12/02/2000
Fernando Tomás,Diaz,35000238,13/12/2001
Delmiro Pascual,García,35000239,08/06/1998
Carlos Mauricio Andres,Barthel,35000240,16/01/1998
Santiago Normando,Gonzalez,35000241,22/05/2000
Amado Ramon,Suarique,35000242,23/09/2003
Humberto Hilario,Camargo,35000243,13/12/2001
Berta de Jesus,Coral,35000244,21/12/2000
Tonino Claudio,Bravo,35000245,23/11/2003
Emilia Olinda,Cortés,35000246,08/03/2001
Santo Benjamin,Guerrero,35000247,10/11/2000
María Del Carmen Dominga,Castiblanco,35000248,27/07/2003
Amina,Blanco,35000249,22/02/2000
Nori Estela,Garcia,35000250,19/03/2001
Sara Olga del Valle,Zúñiga,35000251,04/03/1998
Elfa Catalina,Navia,35000252,05/05/1999
Livia Zulema,Ortega,35000253,27/01/2002
Salvia Orfelia,Sierra,35000254,20/01/2001
Nicolasa Cirila,Quesada,35000255,04/10/2003
Martin Victor,Orozco,35000256,11/04/1999
Remigio Francisco,Marin,35000257,21/12/2003
Victor Leoncio,Ortega,35000258,26/05/1999
Mirta Gorgelina,Perez,35000259,01/06/1999
Dionicia Grabiela,Guacas,35000260,23/01/2001
Odulio Luis,Villa,35000261,10/01/1998
Pablo Donato Cristobal,Camargo,35000262,09/08/1998
Mirtha Nuvia,Rueda,35000263,17/08/2000
Saverio Roberto,Botero,35000264,02/12/1999
Regina Graciela,Sierra,35000265,25/09/2001
Rosalia del Carmen,Cruz,35000266,18/10/2003
Tomás Ramón,Orozco,35000267,28/02/2001
Clelia Leoncia,Rueda,35000268,17/10/2001
Hector Luis Constantino,Guacas,35000269,24/10/2000
Florencio Valentin,Perez,35000270,14/07/1998
Yolanda Mirna,Barthel,35000271,15/05/2003
Evarista Teresa,Marin,35000272,23/01/2000
Lucy Amalia,Muñoz,35000273,08/07/2002
Demetrio Augusto,Mendoza,35000274,14/07/1999
Ines Rosa Pia,Ruiz,35000275,14/01/2003
Estela Graciela,Forero,35000276,18/05/2002
Raul Clodomiro,Hernandez,35000277,06/12/2003
Mariana Elvira,Torres,35000278,07/11/1998
Concepciona Maria,Forero,35000279,01/04/2003
Lazaro Pastor,Barjuch,35000280,03/09/1998
Aurora Raquel Paulina,Aristizabal,35000281,12/12/1998
Salviano Silverio,Camargo,35000282,19/04/2002
Obdulio Eugenio,Camargo,35000283,17/09/2003
Clelia Dolores,Sánchez,35000284,21/06/2003
VERIDIANA,Zúñiga,35000285,11/06/2000
Nora Luzmira,Hernández,35000286,16/03/2003
Eclio Neris,Ortega,35000287,16/08/2000
Esmenia,Jimenez,35000288,26/11/1998
Benjamina Atanasia,Sierra,35000289,12/01/2002
Fany Benjamina,Aristizabal,35000290,08/05/2000
Cristina Antonia,Camargo,35000291,26/12/1998
Haidee Amalia,Coral,35000292,09/02/1999
Ines Feliciana,Fino,35000293,10/06/2001
Carolina Micaela,Acero,35000294,27/01/2000
Nicasio Irineo,Cruz,35000295,11/01/2002
Ock,Rey,35000296,10/09/2003
Jose  Nicanor,Quesada,35000297,19/05/1998
Benito Meregildo,Orozco,35000298,13/03/2000
Berta Mabel,Zúñiga,35000299,16/01/2001
Irma Maria Anita,Coral,35000300,24/10/1999
Damian Gregorio,Lanao,35000301,02/03/1999
Jose Trinidad Manuel,Hernández,35000302,02/12/2001
Rosalba Antonia,Montoya,35000303,22/05/1998
Rafael De Jesus,Garcia,35000304,08/08/1998
Isolina Adelfa,Beltrán,35000305,12/01/1998
Arminda Eduvigis,Barthel,35000306,25/12/2001
Santina Petronila,Garcia,35000307,06/01/1998
Paulino Carlos,Acero,35000308,21/06/2001
Amadeo Adolfo,Aristizabal,35000309,04/10/2002
Orfelino Antonio,Guerrero,35000310,22/09/2000
Elisa Del Lujan,Botero,35000311,12/06/2002
La Paz Rosa Maria,Montoya,35000312,10/12/1998
Segundo Edmundo,Muñoz,35000313,18/09/2003
Reynaldo Roque,Ruiz,35000314,20/08/2003
Marlene Del Carmen,Moncaleano,35000315,12/05/2001
Angel Justino,Blanco,35000316,03/11/2000
Leonilda Cleotilde,Orozco,35000317,25/09/2002
Reyna Virginia,Rey,35000318,24/11/2001
Nicolas Isaias,Estudiantes,35000319,26/11/2003
Antonio Senen,Zúñiga,35000320,03/12/2000
Ines Encarnacion,Mendoza,35000321,09/02/2003
Diana Lia,Barthel,35000322,06/07/2000
Rigoberto Ignacio,Acevedo,35000323,18/02/2003
Aurelia Amalia,Torres,35000324,21/02/2000
Eladia Martina,Acero,35000325,03/07/2002
Santiago Roman,Montoya,35000326,05/12/2002
Angelina Auristela,Alfonso,35000327,09/05/2003
Carlos Zelso,Rocha,35000328,04/08/2000
Santa Dora,Barjuch,35000329,17/02/2002
Luciano José,Torres,35000330,15/01/2002
Visitación Isabel,Fernández,35000331,20/04/1998
Pastor Francisco,Fernández,35000332,18/12/2003
Delia Cornelia,Polo,35000333,25/02/2002
Guillermo Leonardo,Sierra,35000334,27/03/1998
Santos Crus,Acero,35000335,20/06/2001
Dalia Lucia,Hernandez,35000336,24/02/2000
Avelino,Bolívar,35000337,28/12/1999
Noé Nicolás,Beltrán,35000338,18/04/2003
Segundo Eliseo,Tarquino,35000339,24/03/2002
Angelina Rita,Alfonso,35000340,09/02/2001
Plasida Aidee,Perez,35000341,16/07/1999
Eugenia Sabina,Beltrán,35000342,20/02/1999
Evelina Del Valle,Delgado,35000343,18/08/2003
Lucero,Botero,35000344,25/09/2002
Ana Maria Felicitas,Rueda,35000345,16/07/2003
Eulogia Martha,Tarquino,35000346,08/12/2002
Pedro Orlando,Orozco,35000347,22/08/2003
Paula Matilde,Barthel,35000348,13/01/2000
Salvador,Dussán,35000349,19/09/1998
Engelberto,Ortega,35000350,14/11/2003
Isabel Josefina Margarita,Novoa,35000351,10/12/1998
Horacio Ataliva,Rueda,35000352,01/06/1998
Abraham Angel Mario,Ruiz,35000353,06/03/2002
Nicolas Del Valle,Rey,35000354,05/01/1999
Edgardo Humberto,Gomez,35000355,02/11/2003
Mirta Lili,Pinzon,35000356,07/12/2003
Leandro Abenamar,Gomez,35000357,21/10/1998
Norberta Petrona,Moncaleano,35000358,12/03/2001
Jorge Epifanio,Rocha,35000359,23/08/1999
Tita Argelia,Ortega,35000360,01/10/1998
Nicolasa Aurora,Mendoza,35000361,09/03/2001
Victor Adrian Roque,Puerto,35000362,06/02/2002
Martin Edgardo,Hernández,35000363,26/04/2000
Elcira Delia,Alfonso,35000364,10/12/2003
Lionel Rodrigo,Barrera,35000365,11/07/2000
Praxedes Ernesto,Gonzalez,35000366,26/11/2000
Florentina Etelvina,Sierra,35000367,23/07/1998
Alcira del Valle,Hernandez,35000368,24/11/2003
Clara Josefina,Alfonso,35000369,24/12/2001
Carmen America,Fernández,35000370,01/10/2003
Margarita Ynes,Cervantes,35000371,14/11/1998
Sinecia Maximina,Alfonso,35000372,19/06/2003
Lidia Anunciacion,Mejia,35000373,04/05/2001
Fabian Bautista,Navia,35000374,01/07/2000
Pedro Mercedez,Horta,35000375,05/10/2003
Rina Marcelina,Guerrero,35000376,10/01/2000
Enriqueta Alejandrina,Lopez,35000377,25/05/2000
Liliana Lucrecia Jorgelina,Alfonso,35000378,11/03/2000
Gregoria Libertad,Rodríguez,35000379,12/04/2002
Ramona Damacia,Cruz,35000380,21/01/2000
Marina Nicolasa,Suarique,35000381,21/03/2000
Pedro Segismundo,Coral,35000382,04/07/2001
Carmen Rut,Hernández,35000383,17/11/2003
JAIMES,Romero,35000384,02/08/2001
Andres Reemberto,Jimenez,35000385,20/02/2002
Ramón Dardo,Ruiz,35000386,14/06/2002
German Pablo,Sanchez,35000387,22/07/2000
Segimundo Ramon,Barthel,35000388,08/01/1999
Ludovico Adolfo,Sánchez,35000389,27/04/2001
Jose Rosiel,Cervantes,35000390,02/04/1999
Teodora Nelida,Muñoz,35000391,07/11/1998
Fernando Abenamar,Orozco,35000392,26/06/2003
Victoria Betona,Cervantes,35000393,04/09/2003
Demetria Francisca,Quesada,35000394,17/09/1999
Sudelia del Carmen,Romero,35000395,10/06/2002
Isaac Daniel,Guacas,35000396,11/03/2000
Sabas Santiago,Polo,35000397,04/08/1998
Cleotilde Carmen,Mogollón,35000398,04/08/2002
Mirta Alide Maria,Bravo,35000399,02/02/2003
Juan Lindoro,Diaz,35000400,10/02/1998
Ramona Ida,Hernández,35000401,10/07/2001
Clodobe Antonio,Bravo,35000402,28/08/1999
Ibis,Dueñas,35000403,20/07/1999
Eugenia Florentina,Diaz,35000404,21/07/1998
Orlando Federico,Gomez,35000405,03/03/2003
Mirta Alicia Viviana,Mahecha,35000406,17/02/1998
Delmira Ester,Muñoz,35000407,25/01/2001
Ernesto Abdala,Ortega,35000408,11/08/2003
Agustin Hernan,Barrera,35000409,11/09/1998
Margaret Lilian,Moncaleano,35000410,07/01/2000
Laura Estanislada,Sierra,35000411,27/02/2002
Alfonzo Francisco,Suarique,35000412,15/07/2003
Silvia de los Milagros,Quesada,35000413,15/07/2003
Carmen Saide,Sánchez,35000414,02/12/1999
Lina Antonia,Torres,35000415,08/08/2003
Miguel Angel Alcides,Botero,35000416,13/10/2001
Adelia Leonor,García,35000417,05/02/2000
Lilian Celia,Varon,35000418,03/07/2000
Felix Saul,Lopez,35000419,21/08/2003
Eleuteria Victorina,Zúñiga,35000420,12/10/2001
Jesusa Isabel,Romero,35000421,14/07/1998
Ana Perfila,Suarique,35000422,22/10/2000
Sebastian Lucas,Hernández,35000423,22/02/2003
Alicia Del Rosario,Rey,35000424,22/03/2002
Rogelio Dabid,Delgado,35000425,14/11/2000
Zulma Dolores Teresa,Fernández,35000426,19/11/2001
Estela Verónica,Mogollón,35000427,18/12/1999
Antonio Humberto Enrique,Bravo,35000428,03/03/2002
Nerieva,Fino,35000429,12/07/1998
LUCIA MANUELA,Polo,35000430,25/07/2001
Adelina Aida,Cruz,35000431,08/01/1998
Benito Domingo Antonio,Tarquino,35000432,15/03/1999
Miguel Rosario,Dueñas,35000433,05/08/2003
Benita Mirta,Forero,35000434,03/09/2000
Pura Rosa,Beltrán,35000435,04/10/2002
Hector Magdaleno,Villa,35000436,09/05/2003
Arsulina,Mahecha,35000437,21/10/1999
Graciela Blanca Lourdes,Aristizabal,35000438,27/03/2000
Marqueza Elvira,Rey,35000439,20/08/1999
Maria Borja,Bravo,35000440,19/12/2001
Cristiana Estanislava,Vargas,35000441,12/02/1998
Lino Silvestre,Gomez,35000442,09/08/1999
Raquel Gladis Mercedes,Bravo,35000443,04/06/2002
Maria Martha Jacinta,Pinzon,35000444,04/03/2000
Guillermo Ruperto,Ortega,35000445,13/08/1999
Leonid,Bravo,35000446,26/04/2003
Bernardina Constancia,Guacas,35000447,14/03/2000
VICITACION,Quesada,35000448,08/07/1998
Jose Huberto Luis,Dussán,35000449,24/05/1998
Dora Trinidad,Botero,35000450,24/07/2000
Adela Avelina,Aristizabal,35000451,21/05/2002
Ermelinda del Carmen,Alfonso,35000452,18/02/1998
Dominga Genoveva,Estudiantes,35000453,14/12/2003
David Salvador,Novoa,35000454,22/07/2000
Delia Carmen Del Valle,Gomez,35000455,26/02/2003
Argelina,Mendoza,35000456,20/10/2000
Ramon Javier,Suarique,35000457,23/08/1999
Norma Benedicta,Rocha,35000458,04/09/2000
Carmen Laubra,Sanchez,35000459,27/01/2001
Ramon Baltasar,Sierra,35000460,11/01/1998
Elda Adelia,Horta,35000461,16/01/2002
Fernando Andres,Horta,35000462,01/10/2001
Rosa Limbania,Barjuch,35000463,02/05/1999
Trancito Ramona,Ortega,35000464,09/07/1999
Leonor Hortensia,Novoa,35000465,04/05/2003
René Cristino,Nieto,35000466,01/06/2002
Raul Augusto,Coral,35000467,04/03/2003
Susana Antonieta del Valle,Bravo,35000468,08/10/1999
Catalina Arcelia,Vargas,35000469,22/07/1999
Pio Arnoldo,Novoa,35000470,25/03/2000
Eulogio Crecencio,Polo,35000471,06/11/2001
José Francisco  Daniel,Zúñiga,35000472,05/02/2000
Lorenza Norma,Aristizabal,35000473,04/06/1998
Ana Lema,Varon,35000474,26/06/2000
Benita Modesta,Mejia,35000475,15/07/1999
Edgar Hernan Onesto,Bolívar,35000476,01/09/2001
Ilda Clementina,Ortega,35000477,20/07/2001
Mila Elba,Barrera,35000478,14/09/1999
Celina Carlota,Bolívar,35000479,18/05/1998
Baltazar Antonio,Rey,35000480,18/01/1999
Maria Teresa Cristina,Pinzon,35000481,23/07/2003
Jose Antonio Angel,Bravo,35000482,28/04/2001
Estanislao Victor,Guacas,35000483,16/12/2003
Mildo Herberto,Mejia,35000484,17/04/2003
Eve Edith,Aristizabal,35000485,10/07/2001
Octavio Osvaldo,Varon,35000486,14/04/1998
Liliana Ebe,Pinzon,35000487,20/03/2001
Orlando Bernardo,Puerto,35000488,20/01/1998
Arnalda,Mahecha,35000489,02/11/1998
Dalinda del Carmen,Marin,35000490,15/05/2002
Irma Terezinha,Bravo,35000491,05/07/2003
Ludovico Jorge,Muñoz,35000492,14/06/1999
Aurora Ecolastica,Fino,35000493,15/09/1999
Eufemio Luis,Varon,35000494,28/10/2003
Alfredo Constancio,Sanchez,35000495,13/06/2001
Lilia Felipa,Horta,35000496,17/09/2001
Cristina Ema Maria,Sánchez,35000497,05/01/1998
Lilian Mirtha,Garcia,35000498,02/03/2003
Clemar Edie,Muñoz,35000499,15/02/2000
Indalecio Gabino,Suarique,35000500,05/08/1998
Dora Elsa,Hernandez,35000501,16/04/2001
Candido Arsenio,Pinzon,35000502,06/04/2002
Javier Cesar,Jimenez,35000503,04/12/2003
Eugenia Reinera,Castaño,35000504,16/09/1999
Victoria Nilda,Delgado,35000505,26/10/1999
Ramona Consuelo,Botero,35000506,05/10/2002
Herminia Alcira,Mejia,35000507,02/12/2001
Jorge Benicio,Villa,35000508,05/09/2003
Teobaldo Edelmiro,Mahecha,35000509,25/04/1999
Celipto,Polo,35000510,19/05/2000
Telesforo Antonio,Fernández,35000511,18/07/1999
Calixto Gregorio,Varon,35000512,25/12/2000
Nelba Edith,Mogollón,35000513,08/08/2001
Rosa María Agata,Dueñas,35000514,06/01/1998
Julio Hugo de San Ramon,Castiblanco,35000515,16/01/2003
Bonifacia Esther,Guacas,35000516,03/02/1998
Margarita Vilma,Ortega,35000517,18/09/1999
Lucrecia Hilda,Delgado,35000518,14/07/2001
Pablo Fermin,Acero,35000519,10/11/2000
Susana Lucia Blanca,Mendoza,35000520,22/04/2003
Aida Marcela,Mendoza,35000521,18/04/1998
Gloria Iván,Diaz,35000522,14/07/1998
Jesus Fernando,Suarique,35000523,07/12/2001
Pedro Emiliano,Navia,35000524,15/04/1999
Nieves Emma,Herrera,35000525,07/11/2003
Ediht Zulema,Aristizabal,35000526,01/11/2001
Nivea Ana,Mejia,35000527,11/04/2000
Stella Maris Eduarda,Beltrán,35000528,05/12/2001
Mabel Soledad,Perez,35000529,28/06/1998
Delmiro Marcelino,Marin,35000530,17/11/1999
Ignacia Isolina,Polo,35000531,26/03/2001
Héctor Eduardo,Camargo,35000532,01/10/2001
Anastacia Benita,Botero,35000533,12/11/2001
Dardo Ricardo,Dueñas,35000534,06/06/2003
Joaquin Agapito,Bravo,35000535,23/03/2001
Mei-ching,Novoa,35000536,07/05/2003
Hilda Ema,Lanao,35000537,20/08/2003
Armindo Juan,Fernández,35000538,17/05/2003
Vito Maria,Acevedo,35000539,14/07/2001
Paula Marcelina,Sierra,35000540,06/02/2001
Haydee Natividad,Sánchez,35000541,01/12/1998
Gloria Alcira,Vargas,35000542,19/05/1998
Ramon Augusto Nicolas,García,35000543,08/04/2000
Celia Sabina,Pinzon,35000544,13/12/2001
Diego Prefiterio,Estudiantes,35000545,12/12/2001
Nelly Onelia,Fernández,35000546,18/10/1999
Ceferino Dalmiro,Castaño,35000547,26/07/2000
